Product Code,Suppler TIN,Supplier Name,Qty,Unit Price
5746279022984070000,,Opening Stock,100,1080
5664084180258950000,,Opening Stock,100,1080
5664084180258950000,,Opening Stock,100,1080
5572170871637700000,,Opening Stock,100,1080
5572170871637700000,,Opening Stock,100,1080
5456694264580700000,,Opening Stock,100,1080
5456694264580700000,,Opening Stock,100,1080
5416608073286320000,,Opening Stock,100,1080
5416608073286320000,,Opening Stock,100,1080
5415698395933080000,,Opening Stock,100,1080
5415698395933080000,,Opening Stock,100,1080
5415665143893620000,,Opening Stock,100,1080
5415665143893620000,,Opening Stock,100,1080
5412289227742150000,,Opening Stock,100,1080
5412289227742150000,,Opening Stock,100,1080
5412117509522230000,,Opening Stock,100,1080
5412117509522230000,,Opening Stock,100,1080
5412066939964920000,,Opening Stock,100,1080
5412066939964920000,,Opening Stock,100,1080
5411741707777510000,,Opening Stock,100,1080
5411741707777510000,,Opening Stock,100,1080
5411704680814120000,,Opening Stock,100,1080
5411704680814120000,,Opening Stock,100,1080
5411700531825380000,,Opening Stock,100,1080
5411700531825380000,,Opening Stock,100,1080
5411697224658620000,,Opening Stock,100,1080
5411697224658620000,,Opening Stock,100,1080
5411683240186380000,,Opening Stock,100,1080
5411683240186380000,,Opening Stock,100,1080
5411673481961960000,,Opening Stock,100,1080
5411673481961960000,,Opening Stock,100,1080
5378481301688840000,,Opening Stock,100,1080
5378481301688840000,,Opening Stock,100,1080
5375286445965480000,,Opening Stock,100,1080
5375286445965480000,,Opening Stock,100,1080
5304647755602230000,,Opening Stock,100,1080
5304647755602230000,,Opening Stock,100,1080
5260000783599830000,,Opening Stock,100,1080
5260000783599830000,,Opening Stock,100,1080
5259976551318850000,,Opening Stock,100,1080
5259976551318850000,,Opening Stock,100,1080
5240955378174170000,,Opening Stock,100,1080
5240955378174170000,,Opening Stock,100,1080
5240953058833110000,,Opening Stock,100,1080
5240953058833110000,,Opening Stock,100,1080
5240946878282890000,,Opening Stock,100,1080
5240946878282890000,,Opening Stock,100,1080
5240939203100840000,,Opening Stock,100,1080
5240939203100840000,,Opening Stock,100,1080
5230637015833150000,,Opening Stock,100,1080
5230637015833150000,,Opening Stock,100,1080
5230629095804400000,,Opening Stock,100,1080
5230629095804400000,,Opening Stock,100,1080
5227180851086660000,,Opening Stock,100,1080
5227180851086660000,,Opening Stock,100,1080
5226894149898110000,,Opening Stock,100,1080
